day,month,year,Temperature,RH,Ws,Rain,FFMC,DMC,DC,ISI,BUI,FWI,Classes,Region
22,5.0,2014.0,36.4,13.9,3.7,0.0,26.5,54.9,21.6,0.0,47.6,0.0,not fire,Rajasthan
22,5.0,2014.0,16.2,38.1,3.3,0.0,24.7,54.1,18.0,0.0,46.4,0.0,not fire,Jammu and Kashmir
22,5.0,2014.0,38.1,59.4,5.6,4.46,101.0,54.1,23.3,1.4,47.2,3.3,not fire,Kerala
22,5.0,2014.0,42.6,50.8,8.3,1.32,101.0,54.3,22.7,1.6,47.3,3.9,not fire,Tamil Nadu
29,5.0,2014.0,22.0,66.0,10.5,0.88,101.0,53.8,19.0,1.7,46.3,4.3,not fire,Uttarakhand
29,5.0,2014.0,29.7,27.9,9.2,0.0,23.0,54.5,20.4,0.0,47.1,0.0,not fire,Himachal Pradesh
29,5.0,2014.0,29.7,37.7,12.3,0.0,21.7,54.3,20.4,0.0,47.0,0.0,not fire,Madhya Pradesh
29,5.0,2014.0,31.1,32.0,13.2,0.0,21.7,54.5,20.7,0.0,47.1,0.0,not fire,Maharashtra
29,5.0,2014.0,33.6,37.2,9.6,0.24,22.0,54.4,21.1,0.0,47.1,0.0,not fire,Karnataka
29,5.0,2014.0,29.9,45.6,8.3,0.0,22.3,54.2,20.4,0.0,46.9,0.0,not fire,Odisha
29,5.0,2014.0,30.4,25.0,9.9,0.0,23.2,54.6,20.5,0.0,47.2,0.0,not fire,Rajasthan
29,5.0,2014.0,20.6,56.3,5.9,0.0,23.4,53.9,18.8,0.0,46.4,0.0,not fire,Jammu and Kashmir
29,5.0,2014.0,35.4,49.4,6.4,1.42,101.0,54.2,21.4,1.4,47.0,3.5,not fire,Kerala
29,5.0,2014.0,34.1,40.8,7.4,0.0,22.4,54.4,21.2,0.0,47.1,0.0,not fire,Tamil Nadu
1,6.0,2014.0,21.1,90.2,7.0,6.89,101.0,51.9,21.7,1.5,45.1,3.4,not fire,Uttarakhand
1,6.0,2014.0,15.7,80.2,11.4,0.0,24.2,52.2,18.2,0.0,44.8,0.0,not fire,Himachal Pradesh
1,6.0,2014.0,28.5,86.4,10.2,4.95,101.0,52.2,22.1,1.7,45.4,4.2,not fire,Madhya Pradesh
1,6.0,2014.0,30.5,92.1,12.0,14.75,17.1,52.0,27.1,0.0,45.9,0.0,not fire,Maharashtra
1,6.0,2014.0,29.1,67.8,17.4,0.0,21.1,52.7,20.6,0.0,45.6,0.0,not fire,Karnataka
1,6.0,2014.0,25.8,82.6,6.4,0.0,24.3,52.3,20.0,0.0,45.1,0.0,not fire,Odisha
1,6.0,2014.0,27.0,68.0,8.6,0.0,22.6,52.6,20.2,0.0,45.5,0.0,not fire,Rajasthan
1,6.0,2014.0,15.8,72.5,6.3,0.0,24.2,52.4,18.2,0.0,44.9,0.0,not fire,Jammu and Kashmir
1,6.0,2014.0,22.2,99.4,5.1,18.44,25.4,51.3,27.4,0.0,45.3,0.0,not fire,Kerala
1,6.0,2014.0,30.8,90.6,3.6,0.41,25.8,52.0,20.9,0.0,45.1,0.0,not fire,Tamil Nadu
8,6.0,2014.0,22.7,64.7,6.6,0.0,23.2,52.6,19.4,0.0,45.3,0.0,not fire,Uttarakhand
8,6.0,2014.0,22.9,81.4,9.3,3.8,101.0,52.3,20.6,1.6,45.2,3.9,not fire,Himachal Pradesh
8,6.0,2014.0,25.5,79.1,10.3,0.0,23.3,52.4,19.9,0.0,45.2,0.0,not fire,Madhya Pradesh
8,6.0,2014.0,30.1,78.7,5.9,11.22,19.7,52.4,25.4,0.0,46.1,0.0,not fire,Maharashtra
8,6.0,2014.0,26.1,73.9,8.6,0.69,101.0,52.5,20.0,1.6,45.3,3.8,not fire,Karnataka
8,6.0,2014.0,29.4,88.8,6.6,4.1,101.0,52.1,21.9,1.4,45.3,3.4,not fire,Odisha
8,6.0,2014.0,36.5,60.8,6.8,1.23,101.0,52.9,21.9,1.4,46.0,3.5,not fire,Rajasthan
8,6.0,2014.0,18.5,80.7,11.9,0.0,23.9,52.2,18.7,0.0,44.9,0.0,not fire,Jammu and Kashmir
8,6.0,2014.0,27.7,94.4,0.7,0.0,27.6,51.8,20.3,0.0,44.7,0.0,not fire,Kerala
8,6.0,2014.0,23.9,71.3,9.1,1.36,101.0,52.5,19.7,1.6,45.3,3.9,not fire,Tamil Nadu
15,6.0,2014.0,17.5,90.8,13.3,0.0,25.9,51.8,18.5,0.0,44.5,0.0,not fire,Uttarakhand
15,6.0,2014.0,21.9,58.7,14.8,6.8,5.0,52.7,21.8,0.0,45.8,0.0,not fire,Himachal Pradesh
15,6.0,2014.0,24.6,71.1,4.1,6.08,101.0,52.5,22.0,1.3,45.6,2.9,not fire,Madhya Pradesh
15,6.0,2014.0,27.7,86.6,12.6,4.07,101.0,52.2,21.6,1.9,45.3,4.7,not fire,Maharashtra
15,6.0,2014.0,25.5,87.6,12.8,0.0,24.4,52.1,19.9,0.0,45.0,0.0,not fire,Karnataka
15,6.0,2014.0,29.8,74.1,9.3,2.48,101.0,52.6,20.7,1.6,45.5,4.0,not fire,Odisha
15,6.0,2014.0,30.2,60.2,2.8,0.0,23.6,52.8,20.8,0.0,45.7,0.0,not fire,Rajasthan
15,6.0,2014.0,17.5,92.2,12.2,0.0,26.4,51.7,18.5,0.0,44.4,0.0,not fire,Jammu and Kashmir
15,6.0,2014.0,30.1,92.9,8.4,0.0,25.9,51.9,20.8,0.0,44.9,0.0,not fire,Kerala
15,6.0,2014.0,31.9,94.9,8.3,15.28,30.5,51.8,27.6,0.0,45.8,0.0,not fire,Tamil Nadu
22,6.0,2014.0,19.0,70.1,13.6,0.0,22.7,52.5,18.8,0.0,45.1,0.0,not fire,Uttarakhand
22,6.0,2014.0,17.8,88.3,3.9,14.46,20.6,51.9,24.7,0.0,45.5,0.0,not fire,Himachal Pradesh
22,6.0,2014.0,27.9,64.3,8.6,0.39,22.4,52.7,20.4,0.0,45.6,0.0,not fire,Madhya Pradesh
22,6.0,2014.0,27.4,62.4,2.4,5.34,101.0,52.7,22.1,1.2,45.8,2.6,not fire,Maharashtra
22,6.0,2014.0,28.6,66.6,6.8,0.0,22.8,52.7,20.5,0.0,45.6,0.0,not fire,Karnataka
22,6.0,2014.0,33.4,72.3,4.4,3.85,101.0,52.6,22.5,1.3,45.8,3.0,not fire,Odisha
22,6.0,2014.0,34.2,59.3,4.9,0.0,22.7,52.9,21.5,0.0,45.9,0.0,not fire,Rajasthan
22,6.0,2014.0,11.8,90.0,15.1,0.0,26.1,51.8,17.5,0.0,44.3,0.0,not fire,Jammu and Kashmir
22,6.0,2014.0,29.5,96.9,7.4,2.48,101.0,51.6,20.7,1.5,44.7,3.5,not fire,Kerala
22,6.0,2014.0,27.7,79.6,10.3,1.63,101.0,52.4,20.3,1.7,45.3,4.2,not fire,Tamil Nadu
29,6.0,2014.0,20.3,86.2,7.3,0.0,25.2,52.1,19.0,0.0,44.8,0.0,not fire,Uttarakhand
29,6.0,2014.0,25.6,99.6,10.7,19.31,19.6,51.3,28.4,0.0,45.5,0.0,not fire,Himachal Pradesh
29,6.0,2014.0,26.0,67.3,10.6,6.12,101.0,52.6,22.2,1.7,45.8,4.3,not fire,Madhya Pradesh
29,6.0,2014.0,27.8,66.2,2.1,4.23,101.0,52.7,21.7,1.1,45.7,2.6,not fire,Maharashtra
29,6.0,2014.0,23.6,56.0,14.5,4.75,48.8,52.8,21.2,0.1,45.7,0.1,not fire,Karnataka
29,6.0,2014.0,31.1,89.7,4.8,0.88,101.0,52.1,20.9,1.3,45.1,3.0,not fire,Odisha
29,6.0,2014.0,31.4,68.1,5.1,0.0,23.0,52.7,21.0,0.0,45.6,0.0,not fire,Rajasthan
29,6.0,2014.0,21.8,59.5,14.4,0.0,21.8,52.7,19.3,0.0,45.4,0.0,not fire,Jammu and Kashmir
29,6.0,2014.0,21.5,100.0,9.3,8.31,101.0,51.2,22.5,1.6,44.6,3.9,not fire,Kerala
29,6.0,2014.0,32.6,86.8,1.6,0.0,25.4,52.2,21.2,0.0,45.3,0.0,not fire,Tamil Nadu
1,7.0,2014.0,26.7,88.8,7.2,0.0,25.2,52.1,20.2,0.0,45.0,0.0,not fire,Uttarakhand
1,7.0,2014.0,22.4,77.1,7.8,0.0,23.8,52.4,19.4,0.0,45.1,0.0,not fire,Himachal Pradesh
1,7.0,2014.0,25.7,76.2,3.0,0.0,24.4,52.4,20.0,0.0,45.3,0.0,not fire,Madhya Pradesh
1,7.0,2014.0,24.6,67.8,1.3,5.36,101.0,52.6,21.6,1.1,45.7,2.4,not fire,Maharashtra
1,7.0,2014.0,28.5,67.5,11.2,0.48,22.0,52.7,20.5,0.0,45.5,0.0,not fire,Karnataka
1,7.0,2014.0,27.4,99.4,6.0,0.0,28.9,51.3,20.3,0.0,44.4,0.0,not fire,Odisha
1,7.0,2014.0,27.7,60.3,9.0,0.0,22.3,52.8,20.3,0.0,45.6,0.0,not fire,Rajasthan
1,7.0,2014.0,15.9,72.1,6.2,1.57,101.0,52.4,18.2,1.4,44.9,3.3,not fire,Jammu and Kashmir
1,7.0,2014.0,24.6,100.0,7.4,9.29,101.0,51.2,23.5,1.5,44.8,3.5,not fire,Kerala
1,7.0,2014.0,30.6,89.8,7.3,0.0,25.1,52.1,20.9,0.0,45.1,0.0,not fire,Tamil Nadu
8,7.0,2014.0,26.1,84.3,7.2,0.0,24.4,52.2,20.1,0.0,45.1,0.0,not fire,Uttarakhand
8,7.0,2014.0,20.6,89.4,9.2,0.0,25.6,51.9,19.1,0.0,44.7,0.0,not fire,Himachal Pradesh
8,7.0,2014.0,24.2,67.3,2.5,0.0,24.2,52.6,19.7,0.0,45.4,0.0,not fire,Madhya Pradesh
8,7.0,2014.0,24.8,81.0,5.8,0.0,24.3,52.3,19.8,0.0,45.1,0.0,not fire,Maharashtra
8,7.0,2014.0,32.8,79.7,10.7,0.61,101.0,52.5,21.3,1.7,45.5,4.3,not fire,Karnataka
8,7.0,2014.0,22.8,72.0,5.1,5.05,101.0,52.5,21.2,1.3,45.5,3.1,not fire,Odisha
8,7.0,2014.0,27.7,69.7,8.0,2.63,101.0,52.6,20.3,1.5,45.5,3.7,not fire,Rajasthan
8,7.0,2014.0,12.2,73.3,7.5,0.0,24.3,52.3,17.5,0.0,44.8,0.0,not fire,Jammu and Kashmir
8,7.0,2014.0,27.8,98.2,0.0,0.0,29.0,51.5,20.4,0.0,44.5,0.0,not fire,Kerala
8,7.0,2014.0,32.0,82.9,13.5,0.0,22.8,52.4,21.1,0.0,45.4,0.0,not fire,Tamil Nadu
15,7.0,2014.0,21.2,96.2,9.2,0.0,27.8,51.5,19.2,0.0,44.4,0.0,not fire,Uttarakhand
15,7.0,2014.0,20.7,55.6,4.5,3.12,101.0,52.7,19.9,1.3,45.5,3.0,not fire,Himachal Pradesh
15,7.0,2014.0,27.1,62.6,4.6,0.17,23.3,52.7,20.2,0.0,45.6,0.0,not fire,Madhya Pradesh
15,7.0,2014.0,35.9,76.3,2.7,0.0,23.8,52.6,21.8,0.0,45.7,0.0,not fire,Maharashtra
15,7.0,2014.0,30.4,81.5,8.3,2.36,101.0,52.4,20.8,1.5,45.3,3.7,not fire,Karnataka
15,7.0,2014.0,32.7,88.2,7.1,0.9,101.0,52.2,21.2,1.5,45.2,3.5,not fire,Odisha
15,7.0,2014.0,32.5,76.8,3.6,0.0,23.8,52.5,21.2,0.0,45.5,0.0,not fire,Rajasthan
15,7.0,2014.0,15.9,80.8,5.5,0.15,25.0,52.2,18.2,0.0,44.8,0.0,not fire,Jammu and Kashmir
15,7.0,2014.0,30.1,98.3,8.6,1.34,101.0,51.5,20.8,1.6,44.6,3.7,not fire,Kerala
15,7.0,2014.0,31.2,84.8,6.2,0.0,24.2,52.3,21.0,0.0,45.3,0.0,not fire,Tamil Nadu
22,7.0,2014.0,22.1,92.1,8.8,0.0,26.3,51.8,19.3,0.0,44.6,0.0,not fire,Uttarakhand
22,7.0,2014.0,16.5,74.9,7.7,4.08,101.0,52.3,19.6,1.5,45.1,3.6,not fire,Himachal Pradesh
22,7.0,2014.0,27.0,79.3,6.8,7.08,101.0,52.4,22.9,1.4,45.7,3.4,not fire,Madhya Pradesh
22,7.0,2014.0,31.4,65.0,6.9,0.4,22.5,52.8,21.0,0.0,45.7,0.0,not fire,Maharashtra
22,7.0,2014.0,24.9,77.8,3.6,9.47,101.0,52.4,23.6,1.2,45.8,2.8,not fire,Karnataka
22,7.0,2014.0,27.5,91.0,3.3,0.33,26.2,52.0,20.3,0.0,44.9,0.0,not fire,Odisha
22,7.0,2014.0,27.2,45.1,7.2,0.0,22.7,53.0,20.3,0.0,45.8,0.0,not fire,Rajasthan
22,7.0,2014.0,13.4,63.9,13.0,0.0,22.9,52.5,17.8,0.0,45.0,0.0,not fire,Jammu and Kashmir
22,7.0,2014.0,25.7,100.0,11.2,3.2,101.0,51.3,20.8,1.8,44.4,4.3,not fire,Kerala
22,7.0,2014.0,29.5,86.9,0.0,0.0,26.6,52.2,20.7,0.0,45.2,0.0,not fire,Tamil Nadu
29,7.0,2014.0,21.6,85.8,8.1,5.49,101.0,52.1,21.2,1.5,45.2,3.7,not fire,Uttarakhand
29,7.0,2014.0,16.9,86.5,5.5,1.85,101.0,52.0,18.4,1.3,44.7,3.1,not fire,Himachal Pradesh
29,7.0,2014.0,26.0,79.9,8.7,0.0,23.6,52.4,20.0,0.0,45.2,0.0,not fire,Madhya Pradesh
29,7.0,2014.0,22.2,65.0,8.0,0.28,23.0,52.6,19.3,0.0,45.3,0.0,not fire,Maharashtra
29,7.0,2014.0,28.0,75.9,8.2,0.0,23.1,52.5,20.4,0.0,45.4,0.0,not fire,Karnataka
29,7.0,2014.0,28.3,85.4,9.3,0.0,24.1,52.2,20.4,0.0,45.2,0.0,not fire,Odisha
29,7.0,2014.0,30.1,56.8,6.3,0.0,22.6,52.9,20.8,0.0,45.8,0.0,not fire,Rajasthan
29,7.0,2014.0,12.3,82.1,0.0,0.0,27.1,52.1,17.6,0.0,44.6,0.0,not fire,Jammu and Kashmir
29,7.0,2014.0,26.4,99.9,8.2,4.16,101.0,51.3,21.4,1.5,44.5,3.6,not fire,Kerala
29,7.0,2014.0,31.1,93.1,2.4,2.87,101.0,51.9,21.6,1.2,45.1,2.6,not fire,Tamil Nadu
1,8.0,2014.0,19.2,100.0,15.5,3.74,101.0,51.2,19.9,2.2,44.2,5.3,not fire,Uttarakhand
1,8.0,2014.0,21.6,73.6,13.7,0.0,22.7,52.4,19.2,0.0,45.2,0.0,not fire,Himachal Pradesh
1,8.0,2014.0,22.1,75.2,5.7,6.73,101.0,52.4,21.8,1.4,45.5,3.2,not fire,Madhya Pradesh
1,8.0,2014.0,26.1,63.6,9.0,7.56,20.9,52.7,22.9,0.0,45.9,0.0,not fire,Maharashtra
1,8.0,2014.0,25.3,74.3,8.8,6.21,101.0,52.5,22.2,1.6,45.6,3.9,not fire,Karnataka
1,8.0,2014.0,25.7,74.8,8.7,5.82,101.0,52.5,22.1,1.6,45.6,3.8,not fire,Odisha
1,8.0,2014.0,34.1,68.8,9.0,0.0,22.0,52.7,21.5,0.0,45.7,0.0,not fire,Rajasthan
1,8.0,2014.0,18.5,73.5,3.2,0.0,24.7,52.4,18.7,0.0,45.0,0.0,not fire,Jammu and Kashmir
1,8.0,2014.0,28.0,93.2,6.6,0.0,26.3,51.8,20.4,0.0,44.8,0.0,not fire,Kerala
1,8.0,2014.0,34.5,72.8,5.9,0.0,22.8,52.7,21.6,0.0,45.7,0.0,not fire,Tamil Nadu
8,8.0,2014.0,22.7,100.0,0.1,5.36,101.0,51.2,21.3,1.0,44.4,2.1,not fire,Uttarakhand
8,8.0,2014.0,18.2,79.1,10.9,7.29,101.0,52.3,21.4,1.8,45.3,4.3,not fire,Himachal Pradesh
8,8.0,2014.0,23.4,79.2,7.4,0.23,23.9,52.3,19.6,0.0,45.1,0.0,not fire,Madhya Pradesh
8,8.0,2014.0,30.8,60.4,10.7,0.0,21.7,52.8,20.9,0.0,45.7,0.0,not fire,Maharashtra
8,8.0,2014.0,27.5,50.1,9.8,0.0,22.0,52.9,20.3,0.0,45.8,0.0,not fire,Karnataka
8,8.0,2014.0,23.8,78.0,4.1,0.0,24.4,52.4,19.6,0.0,45.2,0.0,not fire,Odisha
8,8.0,2014.0,30.9,61.4,4.6,1.25,101.0,52.8,20.9,1.3,45.7,3.0,not fire,Rajasthan
8,8.0,2014.0,18.2,80.8,15.9,0.0,23.6,52.2,18.6,0.0,44.9,0.0,not fire,Jammu and Kashmir
8,8.0,2014.0,34.1,86.5,10.7,0.0,23.6,52.3,21.5,0.0,45.4,0.0,not fire,Kerala
8,8.0,2014.0,35.1,76.5,16.5,2.01,101.0,52.6,21.7,2.3,45.6,5.8,not fire,Tamil Nadu
15,8.0,2014.0,19.8,84.3,5.2,0.0,25.2,52.1,18.9,0.0,44.8,0.0,not fire,Uttarakhand
15,8.0,2014.0,16.9,88.7,8.8,1.68,101.0,51.9,18.4,1.6,44.6,3.8,not fire,Himachal Pradesh
15,8.0,2014.0,24.7,79.8,8.6,15.22,0.0,52.3,26.3,0.0,46.1,0.0,not fire,Madhya Pradesh
15,8.0,2014.0,22.0,78.4,10.1,1.94,101.0,52.3,19.3,1.7,45.1,4.1,not fire,Maharashtra
15,8.0,2014.0,29.9,92.0,9.1,4.08,101.0,51.9,22.0,1.6,45.1,3.9,not fire,Karnataka
15,8.0,2014.0,31.8,95.3,4.0,4.09,101.0,51.8,22.3,1.2,45.0,2.9,not fire,Odisha
15,8.0,2014.0,27.0,64.1,7.2,4.59,101.0,52.7,21.7,1.5,45.8,3.5,not fire,Rajasthan
15,8.0,2014.0,17.4,86.6,13.5,0.93,101.0,52.0,18.5,2.0,44.7,4.9,not fire,Jammu and Kashmir
15,8.0,2014.0,32.0,100.0,11.0,12.67,101.0,51.4,26.4,1.8,45.3,4.3,not fire,Kerala
15,8.0,2014.0,29.0,80.3,0.0,1.03,101.0,52.4,20.6,1.0,45.3,2.2,not fire,Tamil Nadu
22,8.0,2014.0,28.2,87.7,3.4,2.52,101.0,52.1,20.4,1.2,45.1,2.8,not fire,Uttarakhand
22,8.0,2014.0,20.0,100.0,4.4,1.63,101.0,51.2,18.9,1.3,44.0,2.9,not fire,Himachal Pradesh
22,8.0,2014.0,27.4,63.3,8.2,1.51,101.0,52.7,20.3,1.5,45.6,3.7,not fire,Madhya Pradesh
22,8.0,2014.0,37.2,77.5,0.2,3.99,101.0,52.6,23.3,1.0,45.9,2.2,not fire,Maharashtra
22,8.0,2014.0,26.0,70.5,8.9,6.89,101.0,52.6,22.6,1.6,45.8,3.9,not fire,Karnataka
22,8.0,2014.0,26.3,100.0,11.4,0.53,101.0,51.3,20.1,1.8,44.3,4.3,not fire,Odisha
22,8.0,2014.0,36.4,61.1,7.2,0.0,22.0,52.9,21.9,0.0,46.0,0.0,not fire,Rajasthan
22,8.0,2014.0,21.0,65.0,8.7,0.0,23.0,52.6,19.1,0.0,45.3,0.0,not fire,Jammu and Kashmir
22,8.0,2014.0,25.7,75.8,4.1,0.0,24.1,52.5,20.0,0.0,45.3,0.0,not fire,Kerala
22,8.0,2014.0,25.7,80.5,0.7,0.0,25.5,52.3,20.0,0.0,45.2,0.0,not fire,Tamil Nadu
29,8.0,2014.0,22.2,86.1,1.7,13.59,33.0,52.1,25.1,0.0,45.7,0.0,not fire,Uttarakhand
29,8.0,2014.0,14.6,63.0,12.3,0.05,22.9,52.5,18.0,0.0,45.0,0.0,not fire,Himachal Pradesh
29,8.0,2014.0,25.6,81.4,8.8,0.0,23.8,52.3,20.0,0.0,45.2,0.0,not fire,Madhya Pradesh
29,8.0,2014.0,29.5,66.8,13.3,1.42,101.0,52.7,20.7,2.0,45.6,4.9,not fire,Maharashtra
29,8.0,2014.0,21.1,67.5,12.1,0.48,22.5,52.5,19.1,0.0,45.2,0.0,not fire,Karnataka
29,8.0,2014.0,28.8,77.9,3.8,2.77,101.0,52.4,20.5,1.2,45.4,2.8,not fire,Odisha
29,8.0,2014.0,32.5,51.1,13.8,1.19,101.0,53.0,21.2,2.0,45.9,5.1,fire,Rajasthan
29,8.0,2014.0,21.3,56.8,10.7,0.0,22.4,52.7,19.2,0.0,45.4,0.0,not fire,Jammu and Kashmir
29,8.0,2014.0,28.3,98.8,14.7,0.0,28.2,51.4,20.5,0.0,44.5,0.0,not fire,Kerala
29,8.0,2014.0,31.9,62.9,9.8,19.18,75.2,52.8,29.5,0.2,46.9,0.3,not fire,Tamil Nadu
1,9.0,2014.0,24.8,98.1,10.2,0.94,101.0,51.4,19.8,1.7,44.4,4.1,not fire,Uttarakhand
1,9.0,2014.0,18.9,86.4,10.7,1.97,101.0,52.0,18.8,1.7,44.7,4.2,not fire,Himachal Pradesh
1,9.0,2014.0,24.8,88.8,8.8,1.02,101.0,52.0,19.8,1.6,44.9,3.8,not fire,Madhya Pradesh
1,9.0,2014.0,25.5,66.0,5.9,0.0,23.2,52.6,19.9,0.0,45.4,0.0,not fire,Maharashtra
1,9.0,2014.0,25.4,77.0,10.5,0.0,23.1,52.4,19.9,0.0,45.2,0.0,not fire,Karnataka
1,9.0,2014.0,32.2,100.0,7.9,0.0,28.8,51.4,21.1,0.0,44.5,0.0,not fire,Odisha
1,9.0,2014.0,28.2,76.7,4.7,0.0,23.8,52.5,20.4,0.0,45.4,0.0,not fire,Rajasthan
1,9.0,2014.0,19.6,49.9,0.5,3.46,101.0,52.8,19.8,1.0,45.6,2.3,not fire,Jammu and Kashmir
1,9.0,2014.0,24.6,99.4,13.2,1.38,101.0,51.3,19.8,2.0,44.3,4.8,not fire,Kerala
1,9.0,2014.0,31.4,94.5,9.5,4.43,101.0,51.8,22.4,1.6,45.1,4.0,not fire,Tamil Nadu
8,9.0,2014.0,21.1,62.5,5.7,1.64,101.0,52.6,19.2,1.4,45.3,3.2,not fire,Uttarakhand
8,9.0,2014.0,15.6,74.2,4.8,2.2,101.0,52.3,18.2,1.3,44.9,3.0,not fire,Himachal Pradesh
8,9.0,2014.0,25.0,76.3,4.8,11.97,11.6,52.4,24.8,0.0,46.0,0.0,not fire,Madhya Pradesh
8,9.0,2014.0,30.6,68.4,9.7,4.84,101.0,52.7,22.5,1.7,45.8,4.1,not fire,Maharashtra
8,9.0,2014.0,27.8,72.9,7.9,0.0,23.0,52.5,20.4,0.0,45.4,0.0,not fire,Karnataka
8,9.0,2014.0,26.6,76.9,9.2,0.0,23.2,52.4,20.1,0.0,45.3,0.0,not fire,Odisha
8,9.0,2014.0,31.4,53.3,4.1,1.42,101.0,53.0,21.0,1.2,45.9,2.9,not fire,Rajasthan
8,9.0,2014.0,15.7,66.1,11.9,0.0,23.0,52.5,18.2,0.0,45.0,0.0,not fire,Jammu and Kashmir
8,9.0,2014.0,24.3,92.3,9.6,5.89,101.0,51.8,21.8,1.6,45.0,4.0,not fire,Kerala
8,9.0,2014.0,26.6,82.8,12.7,0.0,23.4,52.3,20.1,0.0,45.2,0.0,not fire,Tamil Nadu
15,9.0,2014.0,18.5,68.2,8.1,2.78,101.0,52.5,18.7,1.5,45.1,3.7,not fire,Uttarakhand
15,9.0,2014.0,19.1,84.6,3.0,3.31,101.0,52.1,19.7,1.2,44.9,2.7,not fire,Himachal Pradesh
15,9.0,2014.0,30.5,58.9,4.2,0.0,23.1,52.8,20.8,0.0,45.8,0.0,not fire,Madhya Pradesh
15,9.0,2014.0,28.8,71.2,10.9,5.74,101.0,52.6,22.6,1.8,45.8,4.4,not fire,Maharashtra
15,9.0,2014.0,23.5,71.6,6.3,12.4,0.0,52.5,24.7,0.0,46.0,0.0,not fire,Karnataka
15,9.0,2014.0,29.9,74.5,8.7,4.84,101.0,52.5,22.4,1.6,45.7,3.9,not fire,Odisha
15,9.0,2014.0,35.3,58.8,12.3,0.0,21.0,52.9,21.7,0.0,45.9,0.0,not fire,Rajasthan
15,9.0,2014.0,13.0,76.8,8.3,0.0,24.4,52.2,17.7,0.0,44.7,0.0,not fire,Jammu and Kashmir
15,9.0,2014.0,27.9,97.9,5.6,7.14,101.0,51.5,23.1,1.3,44.9,3.1,not fire,Kerala
15,9.0,2014.0,28.5,84.2,10.5,3.79,101.0,52.3,21.6,1.7,45.4,4.2,not fire,Tamil Nadu
22,9.0,2014.0,20.7,83.7,12.7,0.0,24.1,52.2,19.1,0.0,44.9,0.0,not fire,Uttarakhand
22,9.0,2014.0,20.1,100.0,3.5,2.02,101.0,51.2,19.0,1.2,44.0,2.7,not fire,Himachal Pradesh
22,9.0,2014.0,21.6,98.9,9.4,9.47,101.0,51.3,23.0,1.6,44.7,3.9,not fire,Madhya Pradesh
22,9.0,2014.0,28.7,75.2,14.1,19.02,78.6,52.5,28.8,0.4,46.6,0.6,not fire,Maharashtra
22,9.0,2014.0,20.2,67.6,0.8,12.05,16.6,52.5,24.0,0.0,45.9,0.0,not fire,Karnataka
22,9.0,2014.0,31.7,69.6,12.7,0.66,101.0,52.7,21.1,1.9,45.6,4.8,not fire,Odisha
22,9.0,2014.0,30.3,52.8,9.3,2.68,101.0,52.9,20.8,1.6,45.8,4.0,not fire,Rajasthan
22,9.0,2014.0,16.3,62.9,9.2,0.0,23.2,52.5,18.3,0.0,45.1,0.0,not fire,Jammu and Kashmir
22,9.0,2014.0,23.8,93.4,5.4,0.0,26.8,51.8,19.6,0.0,44.6,0.0,not fire,Kerala
22,9.0,2014.0,25.8,83.6,8.3,1.2,101.0,52.2,20.0,1.6,45.1,3.7,not fire,Tamil Nadu
29,9.0,2014.0,20.6,100.0,11.0,1.2,101.0,51.2,19.1,1.8,44.0,4.2,not fire,Uttarakhand
29,9.0,2014.0,17.5,55.2,16.0,5.4,15.4,52.7,20.4,0.0,45.6,0.0,not fire,Himachal Pradesh
29,9.0,2014.0,30.3,75.6,0.0,0.0,25.7,52.5,20.8,0.0,45.5,0.0,not fire,Madhya Pradesh
29,9.0,2014.0,27.4,69.8,5.9,0.69,101.0,52.6,20.3,1.4,45.5,3.3,not fire,Maharashtra
29,9.0,2014.0,30.1,61.9,5.0,10.94,0.0,52.8,25.3,0.0,46.3,0.0,not fire,Karnataka
29,9.0,2014.0,27.3,76.9,7.1,0.61,101.0,52.5,20.3,1.5,45.3,3.5,not fire,Odisha
29,9.0,2014.0,28.8,60.4,8.9,0.0,22.2,52.8,20.5,0.0,45.7,0.0,not fire,Rajasthan
29,9.0,2014.0,13.5,83.0,0.0,1.6,101.0,52.1,17.8,1.0,44.6,2.1,not fire,Jammu and Kashmir
29,9.0,2014.0,31.0,94.6,9.6,1.67,101.0,51.8,20.9,1.7,44.9,4.0,not fire,Kerala
29,9.0,2014.0,28.1,76.8,3.5,4.09,101.0,52.5,21.7,1.2,45.5,2.8,not fire,Tamil Nadu
1,10.0,2014.0,23.2,55.7,5.0,0.0,23.4,54.0,19.2,0.0,46.5,0.0,not fire,Uttarakhand
1,10.0,2014.0,23.1,80.7,11.2,1.44,101.0,53.5,19.2,1.8,46.1,4.4,not fire,Himachal Pradesh
1,10.0,2014.0,30.2,46.9,8.1,0.0,22.3,54.2,20.5,0.0,46.9,0.0,not fire,Madhya Pradesh
1,10.0,2014.0,33.7,53.4,11.6,0.0,21.2,54.2,21.1,0.0,46.9,0.0,not fire,Maharashtra
1,10.0,2014.0,24.0,27.0,13.7,0.0,22.5,54.5,19.4,0.0,46.9,0.0,not fire,Karnataka
1,10.0,2014.0,33.7,50.3,12.4,0.0,21.1,54.2,21.1,0.0,47.0,0.0,not fire,Odisha
1,10.0,2014.0,28.1,41.5,8.9,0.0,22.3,54.3,20.1,0.0,46.9,0.0,not fire,Rajasthan
1,10.0,2014.0,19.2,50.4,3.1,1.99,101.0,54.0,18.5,1.2,46.4,2.8,not fire,Jammu and Kashmir
